Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
"2,4,6-trimethyldodecane",103387-11-7,212.250,2.61,-,0.27,0.27,-,-,9,-,4 ,4 ,-,-,,
3-methyltetradecane,18435-22-8,212.250,2.44,-,0.08,0.08,-,-,9,-,4 ,4 ,-,-,,
2-methyltetradecane,1560-95-8,212.250,2.44,-,0.02,0.02,-,-,9,-,4 ,4 ,-,-,,
"2,4-dimethyltridecane",61868-05-1,212.250,3.17,(4.50),0.23,0.23,-,-,10,(11),4 ,4 ,-,-,,
4-methyltetradecane,25117-24-2,212.250,2.46,(4.07),0.03,0.03,-,-,9,(10),4 ,4 ,-,-,,
"2,3-dimethyltridecane",18435-20-6,212.250,2.74,-,0.09,0.09,-,-,9,-,4 ,4 ,-,-,,
5-methyltetradecane,25117-32-2,212.250,3.31,-,0.09,0.09,-,-,10,-,4 ,4 ,-,-,,
diphenyl carbonate,102-09-0,214.063,2.89,(3.72),0.59,0.59,-,-,37,(38),10 ,10 ,-,-,,
ethyl undecanoate,627-90-7,214.193,4.03,(10.32),0.19,0.19,-,-,25,(32),9 ,9 ,-,-,,
propyl decanoate,30673-60-0,214.193,1.42,(2.44),0.12,0.12,-,-,13,(14),9 ,9 ,-,-,,
thianthrene,92-85-3,216.007,2.57,-,0.10,-,0.10,-,48,-,5 ,-,5 ,-,,
dimethyl nonanedioate,1732-10-1,216.136,3.87,(4.71),0.11,0.11,-,-,47,(49),6 ,6 ,-,-,,
"1,2-dichloro-1,1,2,3,3,3-hexafluoropropane",661-97-2,219.928,1.38,-,0.16,-,0.16,-,12,-,16 ,-,16 ,-,,
difluoro-bis(trifluoromethoxy)methane,53772-78-4,219.977,0.56,-,0.65,-,0.65,-,69,-,15 ,-,15 ,-,,
pentafluoro-lambda5-iodane,7783-66-6,221.896,3.45,-,0.41,0.41,-,-,8,-,5 ,5 ,-,-,,
tripropyl phosphate,513-08-6,224.118,2.89,(5.38),0.16,0.16,-,-,29,(33),8 ,8 ,-,-,,
"2,3-dimethyltetradecane",18435-23-9,226.266,3.05,-,0.10,0.10,-,-,9,-,4 ,4 ,-,-,,
"2,4,6-trimethyltridecane",103392-36-5,226.266,2.60,-,0.34,0.34,-,-,9,-,4 ,4 ,-,-,,
4-methylpentadecane,2801-87-8,226.266,3.55,-,0.09,0.09,-,-,13,-,6 ,6 ,-,-,,
5-methylpentadecane,25117-33-3,226.266,1.84,(5.52),0.14,0.14,-,-,10,(13),6 ,6 ,-,-,,
"2,4-dimethyltetradecane",61868-06-2,226.266,2.49,-,0.23,0.23,-,-,9,-,4 ,4 ,-,-,,
2-methylpentadecane,1560-93-6,226.266,3.32,(7.59),0.18,0.18,-,-,13,(14),21 ,21 ,-,-,,
3-methylpentadecane,2882-96-4,226.266,2.59,-,0.03,0.03,-,-,12,-,6 ,6 ,-,-,,
dibutyl (e)-but-2-enedioate,105-75-9,228.136,2.78,(4.98),0.05,0.05,-,-,10,(11),9 ,9 ,-,-,,
butyl decanoate,30673-36-0,228.209,3.53,(6.82),0.12,0.12,-,-,7,(9),9 ,9 ,-,-,,
dipentyl oxalate,20602-86-2,230.152,5.93,-,0.10,0.10,-,-,19,-,12 ,12 ,-,-,,
diethyl 2-pentylpropanedioate,6065-59-4,230.152,3.17,(7.95),0.29,0.29,-,-,15,(17),8 ,8 ,-,-,,
dipropyl hexanedioate,106-19-4,230.152,1.81,-,0.27,0.27,-,-,17,-,215 ,215 ,-,-,,
dibutyl butanedioate,141-03-7,230.152,2.69,-,0.18,0.18,-,-,37,-,25 ,25 ,-,-,,
tris(2-methylpropyl) borate,13195-76-1,230.205,2.59,-,0.18,0.18,-,-,14,-,11 ,11 ,-,-,,
tributyl borate,688-74-4,230.205,5.56,-,0.22,0.22,-,-,28,-,26 ,26 ,-,-,,
dimethylmercury,593-74-8,232.018,2.87,(6.52),2.58,3.08,0.07,-,52,(58),6 ,5 ,1 ,-,,
1-chlorotetradecane,2425-54-9,232.196,1.11,(2.99),0.11,0.11,-,-,17,(18),14 ,14 ,-,-,,
"1,2-dibromobenzene",583-53-9,233.868,5.34,(7.02),0.11,0.11,-,-,24,(26),8 ,8 ,-,-,,
phenylselanylbenzene,1132-39-4,233.995,6.68,-,0.49,0.49,-,-,9,-,8 ,8 ,-,-,,
"1,1,1,7-tetrachloroheptane",3922-36-9,235.969,1.30,-,0.87,0.87,-,-,13,-,30 ,30 ,-,-,,
"1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene",434-64-0,235.987,0.49,-,0.67,0.15,0.82,-,94,-,32 ,7 ,25 ,-,,
tetraethylstannane,597-64-8,236.059,2.56,(7.29),0.98,0.05,1.08,-,32,(39),11 ,1 ,10 ,-,,
1-iodooctane,629-27-6,240.037,9.43,-,0.17,0.17,-,-,10,-,16 ,16 ,-,-,,
3-methylhexadecane,6418-43-5,240.282,2.64,-,0.08,0.08,-,-,9,-,4 ,4 ,-,-,,
5-methylhexadecane,25117-34-4,240.282,2.46,-,0.05,0.05,-,-,9,-,4 ,4 ,-,-,,
"2,4,6-trimethyltetradecane",101791-53-1,240.282,2.72,-,0.43,0.43,-,-,9,-,4 ,4 ,-,-,,
4-methylhexadecane,25117-26-4,240.282,2.43,-,0.02,0.02,-,-,9,-,4 ,4 ,-,-,,
"2,4-dimethylpentadecane",61868-07-3,240.282,2.74,-,0.36,0.36,-,-,9,-,4 ,4 ,-,-,,
2-methylhexadecane,1560-92-5,240.282,2.68,-,0.06,0.06,-,-,9,-,4 ,4 ,-,-,,
"2,3-dimethylpentadecane",2882-97-5,240.282,3.00,-,0.10,0.10,-,-,9,-,4 ,4 ,-,-,,
"n,n-dimethyl-2-pentylnonan-1-amine",99916-30-0,241.277,0.52,-,0.06,0.06,-,-,13,-,6 ,6 ,-,-,,
propyl dodecanoate,3681-78-5,242.225,4.20,(9.05),0.06,0.06,-,-,12,(15),10 ,10 ,-,-,,
tetrapropylgermane,994-65-0,246.140,1.30,-,0.17,0.17,-,-,36,-,8 ,8 ,-,-,,
"1,1,1,2,2-pentafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane",50807-74-4,250.004,1.50,-,0.04,0.04,-,-,29,-,10 ,10 ,-,-,,
"2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol",355-28-2,250.004,0.70,(2.85),0.11,0.11,-,-,63,(72),76 ,76 ,-,-,,
1-phenylheptylbenzene,1530-05-8,252.188,3.60,(5.26),0.58,0.58,-,-,5,(6),13 ,13 ,-,-,,
dodecylcyclohexane,1795-17-1,252.282,2.44,(7.06),0.31,0.31,-,-,7,(9),34 ,34 ,-,-,,
1-iodonaphthalene,90-14-2,253.959,10.69,(19.82),0.48,0.48,-,-,79,(98),4 ,4 ,-,-,,
4-methylheptadecane,26429-11-8,254.297,2.47,-,0.04,0.04,-,-,9,-,4 ,4 ,-,-,,
5-methylheptadecane,26730-95-0,254.297,2.50,-,0.04,0.04,-,-,9,-,4 ,4 ,-,-,,
"2,4-dimethylhexadecane",61868-08-4,254.297,2.77,-,0.39,0.39,-,-,9,-,4 ,4 ,-,-,,
"2,4,6-trimethylpentadecane",101882-67-1,254.297,2.70,-,0.38,0.38,-,-,9,-,4 ,4 ,-,-,,
"2,3-dimethylhexadecane",61868-02-8,254.297,2.64,-,0.12,0.12,-,-,9,-,4 ,4 ,-,-,,
2-methylheptadecane,1560-89-0,254.297,10.32,-,0.05,0.05,-,-,13,-,4 ,4 ,-,-,,
3-methylheptadecane,6418-44-6,254.297,2.73,-,0.07,0.07,-,-,9,-,4 ,4 ,-,-,,
tetraoxoosmium,20816-12-0,255.941,7.49,(11.03),0.25,-,0.25,-,25,(26),11 ,-,11 ,-,,
"1,7-dibromoheptane",4549-31-9,255.946,8.44,-,0.28,0.28,-,-,5,-,4 ,4 ,-,-,,
octyl octanoate,2306-88-9,256.240,11.46,-,1.96,2.37,0.74,-,5,-,4 ,3 ,1 ,-,,
butyl dodecanoate,106-18-3,256.240,8.52,-,0.27,0.27,-,-,9,-,12 ,12 ,-,-,,
dibromo-(trifluoromethyl)phosphane,2712-92-7,257.806,0.97,-,0.14,0.14,-,-,8,-,6 ,6 ,-,-,,
dibutyl hexanedioate,105-99-7,258.183,2.87,(3.69),0.38,0.38,-,-,17,(18),128 ,128 ,-,-,,
dipentyl butanedioate,645-69-2,258.183,4.48,(6.09),0.14,0.14,-,-,20,(21),8 ,8 ,-,-,,
1-chlorohexadecane,4860-03-1,260.227,14.76,(23.42),0.26,0.26,-,-,24,(30),5 ,5 ,-,-,,
"3,3,4,4,5,5,6,6,6-nonafluorohexan-2-one",678-18-2,262.004,0.96,-,0.09,0.09,-,-,17,-,10 ,10 ,-,-,,
"1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",163702-05-4,264.020,1.35,-,0.86,0.99,0.11,-,23,-,130 ,111 ,19 ,-,,
tetrapropyl silicate,682-01-9,264.176,1.64,(3.37),0.32,0.32,-,-,21,(23),21 ,21 ,-,-,,
tris(2-methylpropyl) phosphate,126-71-6,266.165,10.75,-,0.11,0.11,-,-,8,-,8 ,8 ,-,-,,
"n,n-diethyl-2-[methyl(2-methylpropoxy)phosphoryl]sulfanylethanamine",159939-87-4,267.142,7.77,(11.04),0.06,0.06,-,-,26,(28),3 ,3 ,-,-,,
tribromophosphane,7789-60-8,267.729,3.90,-,0.14,0.14,-,-,49,-,7 ,7 ,-,-,,
tetramethylplumbane,75-74-1,268.071,1.20,-,0.68,0.10,0.76,-,37,-,8 ,1 ,7 ,-,,
"1,4-dimethyl-5-octylnaphthalene",55000-53-8,268.219,0.93,-,0.36,0.36,-,-,5,-,5 ,5 ,-,-,,
"2,6-dimethyl-3-octylnaphthalene",55000-54-9,268.219,1.65,-,0.12,0.12,-,-,5,-,3 ,3 ,-,-,,
7-butyl-1-hexylnaphthalene,55000-55-0,268.219,1.23,-,0.27,0.27,-,-,5,-,5 ,5 ,-,-,,
2-butyl-3-hexylnaphthalene,55000-56-1,268.219,0.72,-,0.28,0.28,-,-,5,-,5 ,5 ,-,-,,
"6,10,14-trimethylpentadecan-2-one",502-69-2,268.277,3.74,(4.87),0.15,0.15,-,-,27,(29),6 ,6 ,-,-,,
2-methyloctadecane,1560-88-9,268.313,2.63,-,0.05,0.05,-,-,9,-,4 ,4 ,-,-,,
5-methyloctadecane,25117-35-5,268.313,2.56,(6.75),0.05,0.05,-,-,8,(9),4 ,4 ,-,-,,
"2,4,6-trimethylhexadecane",102013-94-5,268.313,2.72,-,0.38,0.38,-,-,9,-,4 ,4 ,-,-,,
"2,4-dimethylheptadecane",61868-09-5,268.313,2.89,-,0.40,0.40,-,-,9,-,4 ,4 ,-,-,,
4-methyloctadecane,10544-95-3,268.313,2.58,-,0.06,0.06,-,-,9,-,4 ,4 ,-,-,,
"2,3-dimethylheptadecane",61868-03-9,268.313,2.84,-,0.11,0.11,-,-,9,-,4 ,4 ,-,-,,
"6-butyl-7-hexyl-1,2,3,4-tetrahydronaphthalene",66538-96-3,272.250,1.41,-,0.27,0.27,-,-,5,-,5 ,5 ,-,-,,
"7-butyl-1-hexyl-1,2,3,4-tetrahydronaphthalene",66205-02-5,272.250,1.69,-,0.27,0.27,-,-,5,-,5 ,5 ,-,-,,
"1,2-dibromo-1-chloro-1,2,2-trifluoroethane",354-51-8,273.801,0.64,-,0.59,0.05,0.64,-,32,-,13 ,1 ,12 ,-,,
"1,2,3-tribromopropane",96-11-7,277.794,3.17,(4.75),0.21,0.21,-,-,13,(15),11 ,11 ,-,-,,
"1,4-dimethyl-5-octyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",54964-83-9,278.297,1.59,-,0.31,0.31,-,-,5,-,5 ,5 ,-,-,,
"2-butyl-3-hexyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",66455-55-8,278.297,0.77,-,0.32,0.32,-,-,5,-,5 ,5 ,-,-,,
"2,6-dimethyl-3-octyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",54964-85-1,278.297,1.12,-,0.19,0.19,-,-,5,-,4 ,4 ,-,-,,
"2,4,6-trimethylheptadecane",102155-32-8,282.329,2.80,-,0.43,0.43,-,-,9,-,4 ,4 ,-,-,,
"2,3-dimethyloctadecane",61868-04-0,282.329,2.82,-,0.09,0.09,-,-,9,-,4 ,4 ,-,-,,
3-methylnonadecane,6418-45-7,282.329,2.79,-,0.09,0.09,-,-,9,-,4 ,4 ,-,-,,
2-methylnonadecane,1560-86-7,282.329,2.72,-,0.12,0.12,-,-,9,-,4 ,4 ,-,-,,
4-methylnonadecane,25117-27-5,282.329,2.48,-,0.22,0.22,-,-,9,-,4 ,4 ,-,-,,
"2,4-dimethyloctadecane",61868-10-8,282.329,2.81,-,0.45,0.45,-,-,9,-,4 ,4 ,-,-,,
5-methylnonadecane,57160-72-2,282.329,2.64,-,0.12,0.12,-,-,9,-,4 ,4 ,-,-,,
"2,2,3-trichloro-1,1,1,3,4,4,4-heptafluorobutane",335-44-4,285.895,1.12,-,0.11,0.01,0.12,-,25,-,8 ,1 ,7 ,-,,
dipentyl hexanedioate,14027-78-2,286.214,3.63,(4.34),0.27,0.27,-,-,17,(18),8 ,8 ,-,-,,
"1,1,1,2,2,3,4,4,4-nonafluoro-3-(trifluoromethyl)butane",594-91-2,287.981,0.36,(2.61),0.28,-,0.28,-,27,(29),19 ,-,19 ,-,,
1-chlorooctadecane,3386-33-2,288.258,3.36,(14.03),0.09,0.09,-,-,8,(9),8 ,8 ,-,-,,
2-methylicosane,1560-84-5,296.344,2.76,-,0.04,0.04,-,-,9,-,3 ,3 ,-,-,,
"2,4-dimethylnonadecane",115209-60-4,296.344,2.84,-,0.42,0.42,-,-,9,-,4 ,4 ,-,-,,
5-methylicosane,25117-36-6,296.344,2.91,-,0.12,0.12,-,-,9,-,4 ,4 ,-,-,,
4-methylicosane,25117-28-6,296.344,2.69,-,0.10,0.10,-,-,9,-,4 ,4 ,-,-,,
"2,4,6-trimethyloctadecane",114000-79-2,296.344,2.25,-,0.38,0.38,-,-,8,-,4 ,4 ,-,-,,
3-methylicosane,6418-46-8,296.344,2.72,-,0.16,0.16,-,-,9,-,4 ,4 ,-,-,,
"2,3-dimethylnonadecane",75163-99-4,296.344,2.79,-,0.07,0.07,-,-,9,-,4 ,4 ,-,-,,
"(e)-1,1,1,2,3,4,5,5,5-nonafluoro-4-(trifluoromethyl)pent-2-ene",2070-70-4,299.981,0.74,-,1.73,1.76,1.22,-,45,-,98 ,94 ,4 ,-,,
"2,3-di(butanoyloxy)propylbutanoate",60-01-5,302.173,2.82,(7.46),0.74,0.74,-,-,28,(34),25 ,25 ,-,-,,
tetrabutylgermane,1067-42-1,302.203,1.43,-,0.15,0.15,-,-,37,-,8 ,8 ,-,-,,
4-methylhenicosane,25117-29-7,310.360,2.74,-,0.19,0.19,-,-,9,-,4 ,4 ,-,-,,
5-methylhenicosane,25117-37-7,310.360,2.81,-,0.11,0.11,-,-,9,-,4 ,4 ,-,-,,
3-methylhenicosane,6418-47-9,310.360,2.79,-,0.11,0.11,-,-,9,-,4 ,4 ,-,-,,
"2,4,6-trimethylnonadecane",102886-19-1,310.360,2.43,-,0.35,0.35,-,-,8,-,4 ,4 ,-,-,,
"2,4-dimethylicosane",75163-98-3,310.360,2.97,-,0.36,0.36,-,-,9,-,4 ,4 ,-,-,,
octadecyl acetate,822-23-1,312.303,5.42,-,0.03,0.03,-,-,17,-,5 ,5 ,-,-,,
"1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)pentan-3-one",756-13-8,315.976,0.31,-,1.04,1.04,-,(4.81),39,-,120 ,120 ,-,(153),,
tetrabutyl silicate,4766-57-8,320.238,1.99,(5.54),0.32,0.32,-,-,21,(24),21 ,21 ,-,-,,
tetraethylplumbane,78-00-2,324.133,7.30,(64.43),0.83,0.52,1.12,-,51,(54),19 ,9 ,10 ,-,,
5-methyldocosane,25163-52-4,324.376,2.73,-,0.11,0.11,-,-,9,-,4 ,4 ,-,-,,
4-methyldocosane,25117-30-0,324.376,2.70,-,0.21,0.21,-,-,9,-,4 ,4 ,-,-,,
"1,1,1,2,3,4,4,4-octafluoro-2,3-bis(trifluoromethyl)butane",354-96-1,337.978,1.38,-,0.40,-,0.40,-,25,-,4 ,-,4 ,-,,
1-pentadecylnaphthalene,55191-63-4,338.297,1.48,(14.29),0.59,0.59,-,-,5,(6),10 ,10 ,-,-,,
5-methyltricosane,22331-09-5,338.391,2.62,-,0.15,0.15,-,-,9,-,4 ,4 ,-,-,,
3-octylundecylbenzene,5637-96-7,344.344,1.16,-,0.73,0.73,-,-,7,-,13 ,13 ,-,-,,
[7-cyclopentyl-4-(3-cyclopentylpropyl)heptyl]cyclopentane,55429-35-1,346.360,1.59,-,0.60,0.60,-,-,5,-,18 ,18 ,-,-,,
"1,1,2,2,3,3,4,4,5,5,6-undecafluoro-6-(trifluoromethyl)cyclohexane",355-02-2,349.978,1.74,-,0.56,0.47,0.85,-,112,-,36 ,27 ,9 ,-,,
"2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptan-1-ol",375-82-6,349.998,0.92,-,0.15,0.15,-,-,46,-,14 ,14 ,-,-,,
methyl docosanoate,929-77-1,354.350,7.40,-,0.07,0.07,-,-,5,-,9 ,9 ,-,-,,
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctan-1-ol",647-42-7,364.013,4.17,(12.16),0.09,0.09,-,-,15,(19),9 ,9 ,-,-,,
"5,14-dibutyloctadecane",55282-13-8,366.423,1.17,-,0.13,0.13,-,-,8,-,5 ,5 ,-,-,,
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluoroheptane",375-83-7,369.984,0.98,-,0.13,0.13,-,-,5,-,5 ,5 ,-,-,,
"1,1,2,2,2-pentafluoro-n,n-bis(1,1,2,2,2-pentafluoroethyl)ethanamine",359-70-6,370.979,0.40,-,0.09,0.09,-,-,37,-,6 ,6 ,-,-,,
methyl tetracosanoate,2442-49-1,382.381,8.31,-,0.28,0.28,-,-,9,-,8 ,8 ,-,-,,
"2,3-di(hexanoyloxy)propylhexanoate",621-70-5,386.267,9.09,-,1.19,1.19,-,-,10,-,27 ,27 ,-,-,,
"dioctylbenzene-1,2-dicarboxylate",117-84-0,390.277,14.52,(21.86),1.19,1.19,-,-,5,(6),54 ,54 ,-,-,,
bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,174899-82-2,391.010,12.78,(26.56),2.69,2.69,-,-,197,(246),633 ,633 ,-,-,,
"1,1,2,2,3,3,4,5,5,6-decafluoro-4,6-bis(trifluoromethyl)cyclohexane",335-27-3,399.974,0.84,-,3.67,3.82,0.40,-,33,-,113 ,108 ,5 ,-,,
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctane",307-99-3,401.990,2.04,-,0.02,0.02,-,-,11,-,6 ,6 ,-,-,,
"2,2,3,3,4,4,5-heptafluoro-5-(1,1,2,2,3,3,4,4,4-nonafluorobutyl)oxolane",335-36-4,415.969,2.22,-,0.51,0.34,0.60,(5.56),29,-,3 ,1 ,2 ,(243),,
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorooctane",335-65-9,419.981,1.32,-,0.02,0.02,-,-,31,-,6 ,6 ,-,-,,
bis(2-ethylhexyl) decanedioate,122-62-3,426.371,5.15,(7.98),0.53,0.53,-,-,7,(8),84 ,84 ,-,-,,
"1,1,1,2,2,3,3,4,4-nonafluoro-4-(1,1,2,2,3,3,4,4,4-nonafluorobutoxy)butane",308-48-5,453.966,1.24,(1.62),0.41,0.41,-,-,31,(32),9 ,9 ,-,-,,
"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene",306-94-5,461.971,1.61,(2.53),2.90,3.02,0.26,-,41,(44),121 ,116 ,5 ,-,,
"2,4,6-trimethyl-2,4,6-tris(3,3,3-trifluoropropyl)-1,3,5,2,4,6-trioxatrisilinane",2374-14-3,468.065,4.44,-,0.06,0.06,-,-,6,-,14 ,14 ,-,-,,
"1,1,1,2,3,3-hexafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)-3-(1,1,2,2,2-pentafluoroethoxy)propane",66804-94-2,469.961,0.65,-,3.14,3.24,0.36,-,13,-,110 ,106 ,4 ,-,,
"1-bromo-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane",423-55-2,497.891,1.53,-,0.02,0.02,-,-,27,-,6 ,6 ,-,-,,
"1,1,2,2,3,3,4,4,4-nonafluoro-n-(1,1,2,2,3,3,4,4,4-nonafluorobutyl)-n-(trifluoromethyl)butan-1-amine",514-03-4,520.970,1.73,-,3.00,3.06,1.53,-,32,-,113 ,108 ,5 ,-,,
"1,1,2,2,3,3,3-heptafluoro-n,n-bis(1,1,2,2,3,3,3-heptafluoropropyl)propan-1-amine",338-83-0,520.970,1.48,-,3.25,3.29,2.46,-,37,-,113 ,108 ,5 ,-,,
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-icosafluoroundecan-1-ol",307-70-0,531.994,0.54,-,0.18,0.18,-,-,10,-,7 ,7 ,-,-,,
"1,1,2,2,3,3,4,4,4-nonafluoro-n,n-bis(1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine",311-89-7,670.960,0.97,(8.44),4.72,4.86,0.37,-,54,(59),124 ,120 ,4 ,-,,
(ne)-n-ethylidenehydroxylamine,107-29-9,59.037,0.16,-,0.16,0.16,-,-,41,-,10 ,10 ,-,-,,
1-hydroxypropan-2-one,116-09-6,74.037,4.72,(9.33),0.45,0.45,-,-,40,(50),27 ,27 ,-,-,,
"n,n-dimethylnitrous amide",62-75-9,74.048,2.85,(4.73),0.15,0.15,-,-,16,(18),22 ,22 ,-,-,,
2-methoxyethanol,109-86-4,76.052,0.86,(1.40),0.14,0.14,0.00,-,429,(445),703 ,702 ,1 ,-,,
acetyl chloride,75-36-5,77.987,2.18,(7.03),0.14,0.14,-,-,80,(100),7 ,7 ,-,-,,
methylsulfinylmethane,67-68-5,78.014,2.22,(5.02),0.50,0.50,0.70,-,362,(414),1012 ,995 ,17 ,-,,
2-sulfanylethanol,60-24-2,78.014,10.21,(13.10),0.24,0.24,-,-,28,(30),8 ,8 ,-,-,,
2-chloroethanol,107-07-3,80.003,4.49,(15.30),0.23,0.23,-,-,51,(59),39 ,39 ,-,-,,
2-hydroxy-2-methylpropanenitrile,75-86-5,85.053,12.41,(19.14),0.65,0.65,-,-,27,(30),4 ,4 ,-,-,,
pyrrolidin-2-one,616-45-5,85.053,3.60,(12.48),0.09,0.09,-,-,32,(41),128 ,128 ,-,-,,
n-butan-2-ylidenehydroxylamine,96-29-7,87.068,2.53,(4.80),0.44,0.44,-,-,46,(53),29 ,29 ,-,-,,
morpholine,110-91-8,87.068,1.18,(1.50),0.23,0.23,-,-,264,(269),43 ,43 ,-,-,,
2-oxopropanoic acid,127-17-3,88.016,4.27,(10.08),0.78,0.78,-,-,36,(46),8 ,8 ,-,-,,
3-hydroxybutan-2-one,513-86-0,88.052,9.87,-,0.71,0.71,-,-,35,-,30 ,30 ,-,-,,
2-ethoxyethanol,110-80-5,90.068,1.44,(2.24),0.22,0.22,-,-,297,(308),632 ,632 ,-,-,,
1-methoxypropan-2-ol,107-98-2,90.068,2.11,(2.61),0.19,0.19,-,-,186,(194),71 ,71 ,-,-,,
2-methoxypropan-1-ol,1589-47-5,90.068,2.15,-,0.16,0.16,-,-,10,-,4 ,4 ,-,-,,
2-(chloromethyl)oxirane,106-89-8,92.003,1.50,(1.63),0.19,0.19,-,-,123,(124),25 ,25 ,-,-,,
2-chloroacetic acid,79-11-8,93.982,2.89,(4.13),0.37,0.37,-,-,175,(193),27 ,27 ,-,-,,
methyl carbonochloridate,79-22-1,93.982,1.94,-,0.66,0.66,-,-,20,-,9 ,9 ,-,-,,
3-chloropropan-1-ol,627-30-5,94.019,12.73,-,0.20,0.20,-,-,22,-,15 ,15 ,-,-,,
1-chloropropan-2-ol,127-00-4,94.019,3.15,(19.61),0.15,0.17,0.03,-,70,(88),22 ,19 ,3 ,-,,
furan-2-carbaldehyde,98-01-1,96.021,2.57,(8.66),0.16,0.16,-,-,235,(280),282 ,282 ,-,-,,
carbonyl dichloride,75-44-5,97.933,1.15,(1.33),0.25,0.00,0.27,-,186,(188),63 ,4 ,59 ,-,,
furan-2-ylmethanol,98-00-0,98.037,3.48,(6.81),0.33,0.33,-,-,106,(125),144 ,144 ,-,-,,
methyl 2-cyanoacetate,105-34-0,99.032,7.03,(24.29),0.90,0.90,-,-,18,(23),19 ,19 ,-,-,,
1-methylpyrrolidin-2-one,872-50-4,99.068,2.21,(8.11),0.17,0.17,-,-,443,(496),1553 ,1553 ,-,-,,
oxolan-2-ylmethanol,97-99-4,102.068,2.74,(4.57),0.17,0.17,-,-,77,(87),297 ,297 ,-,-,,
s-ethyl ethanethioate,625-60-5,104.030,3.05,(6.70),0.56,0.56,-,-,6,(8),13 ,13 ,-,-,,
2-propoxyethanol,2807-30-9,104.084,1.99,(2.91),0.88,0.88,-,-,110,(115),299 ,299 ,-,-,,
methyl 2-chloroacetate,96-34-4,107.998,1.76,-,0.11,0.11,-,-,60,-,21 ,21 ,-,-,,
ethyl carbonochloridate,541-41-3,107.998,1.26,-,0.47,0.47,-,-,22,-,23 ,23 ,-,-,,
"3-chloropropane-1,2-diol",96-24-2,110.013,5.32,(26.49),0.08,0.08,-,-,24,(31),11 ,11 ,-,-,,
2-chloroacetyl chloride,79-04-9,111.948,2.59,-,1.30,1.30,-,-,36,-,3 ,3 ,-,-,,
ethyl 2-cyanoacetate,105-56-6,113.048,7.68,(13.97),0.42,0.42,0.39,-,62,(68),42 ,38 ,4 ,-,,
azepan-2-one,105-60-2,113.084,3.09,(10.24),0.13,0.13,-,-,182,(228),11 ,11 ,-,-,,
"2,2,2-trifluoroacetic acid",76-05-1,113.993,1.31,-,0.16,0.16,-,-,51,-,24 ,24 ,-,-,,
"1,3-dimethylimidazolidin-2-one",80-73-9,114.079,8.92,(20.13),0.62,0.62,-,-,52,(66),42 ,42 ,-,-,,
morpholine-4-carbaldehyde,4394-85-8,115.063,3.21,(52.95),0.27,0.27,-,-,64,(81),44 ,44 ,-,-,,
4-ethylmorpholine,100-74-3,115.100,1.18,(5.58),1.44,1.44,-,-,88,(111),14 ,14 ,-,-,,
4-oxopentanoic acid,123-76-2,116.047,12.52,(32.94),0.47,0.47,-,-,28,(36),89 ,89 ,-,-,,
1-prop-2-enoxypropan-2-ol,21460-36-6,116.084,5.21,(12.60),3.24,3.24,-,-,5,(6),3 ,3 ,-,-,,
4-hydroxy-4-methylpentan-2-one,123-42-2,116.084,11.64,(22.29),0.63,0.63,-,-,92,(115),36 ,36 ,-,-,,
difluoromethoxy(difluoro)methane,1691-17-4,118.004,0.49,(0.65),0.54,0.51,0.93,-,100,(101),70 ,65 ,5 ,-,,
2-butoxyethanol,111-76-2,118.099,3.23,(10.31),0.27,0.27,-,-,94,(118),541 ,541 ,-,-,,
1-propoxypropan-2-ol,1569-01-3,118.099,1.06,(2.93),0.21,0.21,-,-,34,(36),105 ,105 ,-,-,,
"thiolane 1,1-dioxide",126-33-0,120.025,7.58,(21.21),0.17,0.18,0.11,-,185,(232),209 ,207 ,2 ,-,,
